image_name,github_url
2385924_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2385924_cropped.png?raw=true
2334967_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2334967_cropped.png?raw=true
2403974_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2403974_cropped.png?raw=true
2364518_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2364518_cropped.png?raw=true
2366322_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2366322_cropped.png?raw=true
2388199_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2388199_cropped.png?raw=true
2329080_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2329080_cropped.png?raw=true
2372779_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2372779_cropped.png?raw=true
2338298_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2338298_cropped.png?raw=true
2391752_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2391752_cropped.png?raw=true
2367452_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2367452_cropped.png?raw=true
2370324_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2370324_cropped.png?raw=true
2392859_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2392859_cropped.png?raw=true
2410637_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2410637_cropped.png?raw=true
2332490_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2332490_cropped.png?raw=true
2358080_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2358080_cropped.png?raw=true
2381214_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2381214_cropped.png?raw=true
2378877_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2378877_cropped.png?raw=true
2405647_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2405647_cropped.png?raw=true
2321399_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2321399_cropped.png?raw=true
2395280_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2395280_cropped.png?raw=true
2406912_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2406912_cropped.png?raw=true
2389473_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2389473_cropped.png?raw=true
1159354_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/1159354_cropped.png?raw=true
2346417_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2346417_cropped.png?raw=true
2377773_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2377773_cropped.png?raw=true
2417029_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2417029_cropped.png?raw=true
498061_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/498061_cropped.png?raw=true
2358061_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2358061_cropped.png?raw=true
2333371_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2333371_cropped.png?raw=true
2372924_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2372924_cropped.png?raw=true
2414795_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2414795_cropped.png?raw=true
2351176_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2351176_cropped.png?raw=true
2340477_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2340477_cropped.png?raw=true
2351014_cropped.png,https://github.com/sid-betalol/wmt-task/blob/main/challenge-set/2351014_cropped.png?raw=true
